Open,High,Low,Close,Adj Close,Volume,ADX,ADXR,APO,AROONOSC,CCI,CMO,DX,MACD,MACDSignal,MACDEXT,MACDEXTSignal,MACDFIX,MACDFIXSignal,MFI,MINUS_DI,MINUS_DM,MOM,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,STOCH_slowk,STOCH_slowd,STOCH_fastk,STOCH_fastd,STOCHRSI_fastk,STOCHRSI_fastd,TRIX,ULTOSC,WILLR,Signal
99.28130340576172,100.39199829101562,97.72039794921876,98.02970123291016,61.22065734863281,3520926.0,-2.760012944254957e+54,5.80074706592714e+55,-4.715613220692322e+54,5.465705606856824e+55,17470489296.205654,-2.009085268645101e+56,-6.54762644632748e+55,3.8443071953203487e+55,1.0587202917918213e+55,5.543953422231245e+54,7.456291272606912e+55,9.142352490329065e+54,-4.782377129812033e+54,-5.41368488199696e+53,5.5611129994229085e+54,-20442402641.349205,-109762778.10783698,-4.702221521576002e+53,-19892077306.410736,-4.978053981516941e+54,-7751073791.614811,98641618.362107,-67108862.99614476,-306085331.03875476,-1.0045426343225525e+56,3.8950411808556393,4.175034218387713,5.331647177710997,3.7645185776050134,2.709070559536679e+55,3.6838643224201464e+55,-1.2911556535867056e+54,-8.425271893769225e+53,-1428172722.9406567,Buy
97.9031982421875,99.68910217285156,97.9031982421875,99.08439636230469,61.87933349609375,1795899.0,-2.0207083491397327e+54,4.2469431354536323e+55,-3.452476201679161e+54,4.0016467954271965e+55,12790796382.836655,-1.470926208855408e+56,-4.793761367924892e+55,2.814560584728971e+55,7.751285867990328e+54,4.0589349375564305e+54,5.459028755476251e+55,6.693457016729045e+54,-3.501356548005153e+54,-3.963560483813534e+53,4.071498103599221e+54,-14966644911.11178,-80361420.92957364,-3.442671639613667e+53,-14563731221.566034,-3.644618864508608e+54,-2550136831.6148114,60974583.7840898,-75497470.99614476,-224096452.53749192,-7.354631044277054e+55,4.476067205571248,4.6784960596227965,5.644147177710997,4.377872586670778,1.9834115305361876e+55,2.6970943773677924e+55,-9.45303178621835e+53,-6.168455584583338e+53,-1045618501.8972319,hold
99.4218978881836,99.84380340576172,99.07039642333984,99.5063018798828,62.14281845092773,3313214.0,-2.862830072862732e+54,6.016838863010922e+55,-4.891281168911779e+54,5.669316302771177e+55,18121307093.494907,-2.08392853301465e+56,-6.791541298904158e+55,3.987516895887789e+55,1.098160172183468e+55,5.750479037698196e+54,7.734056078133772e+55,9.482927136448865e+54,-4.9605321944215054e+54,-5.615357680638294e+53,5.7682778504625214e+54,-21203931367.796585,-113851705.92218287,-4.877390596754595e+53,-20633105088.859158,-5.1634984800651904e+54,-7415529471.614811,128255960.61658213,-50331646.99614476,-317487750.44879097,-1.0419642665073272e+56,3.8142362894720905,4.105016391876974,5.206647177710997,3.679217744296416,2.8099899616384636e+55,3.821097139606835e+55,-1.3392543109367724e+54,-8.73913356085314e+53,-1481375593.3195903,Sell
99.21099853515624,99.8156967163086,98.02970123291016,99.5063018798828,62.14281845092773,1288059.0,-2.6724375316479546e+54,5.616688937219847e+55,-4.565986468268275e+54,5.292278368153004e+55,16916149392.909752,-1.9453368461130628e+56,-6.339869780248335e+55,3.722327046814501e+55,1.0251270194913855e+55,5.368043374622024e+54,7.219702605124098e+55,8.852264977078133e+54,-4.630631953668062e+54,-5.241908264698089e+53,5.384658477174232e+54,-19793763709.939854,-106279997.12269893,-4.553019688744474e+53,-19260900238.15446,-4.8200999645552556e+54,-5435817983.614811,86846618.41348991,-67108862.99614476,-296373217.9105859,-9.726684230565334e+55,3.963867472733278,4.234672530890256,5.331647177710997,3.8371743283916375,2.623111552523047e+55,3.5669750380072885e+55,-1.2501871902546423e+54,-8.157937400299207e+53,-1382856700.3245525,hold
99.32350158691406,99.5625,98.8593978881836,99.23909759521484,61.9759407043457,2458292.0,-3.248215644137948e+54,6.82680760843973e+55,-5.5497307239228685e+54,6.432502606699672e+55,20560742934.591312,-2.36446072240496e+56,-7.705798155476935e+55,4.524304423536851e+55,1.2459911906292946e+55,6.52459122481573e+54,8.775191438628916e+55,1.0759490257146885e+55,-5.628304114137518e+54,-6.371280237195596e+53,6.544786060204723e+54,-24058340815.506557,-129178080.06793809,-5.533970244733172e+53,-23410671620.20198,-5.8585931105085625e+54,-17246978047.61481,104139010.42559025,-117440510.99614476,-360227009.7313602,-1.1822303612024822e+56,3.5113583580480343,3.8425712094966036,5.331647177710997,3.3594878430627846,3.188262356115865e+55,4.3354817403571614e+55,-1.5195406969838044e+54,-9.91556942818777e+53,-1680793908.8483777,Buy
99.28130340576172,100.75800323486328,99.0,99.66100311279295,62.23944473266602,2665367.0,-2.0789453196594407e+54,4.369340364268758e+55,-3.5519768321698365e+54,4.1169745647981604e+55,13159428121.416166,-1.5133184156764684e+56,-4.931917940386822e+55,2.895676437924004e+55,7.974678524716952e+54,4.175913755603346e+54,5.616358385372748e+55,6.886362964350898e+54,-3.60226591384806e+54,-4.077790602745438e+53,4.188838993060728e+54,-15397984772.402903,-82677443.28699319,-3.5418897018691935e+53,-14983459079.220602,-3.7496570613658206e+54,-6442450943.614811,66851814.64514044,-67108862.99614476,-230554932.48171252,-7.566592078382356e+55,4.430298254997808,4.638837044110747,5.519147177710997,4.3295570756079265,2.0405736038662916e+55,2.7748248454041617e+55,-9.72546889159787e+53,-6.346230950426919e+53,-1075753305.6578152,hold
99.63289642333984,100.36399841308594,98.74690246582031,99.82969665527344,62.34477615356445,1726164.0,-1.36068452244587e+55,2.859764396272067e+56,-2.3247941414887946e+55,2.694589182625476e+56,86129394556.03339,-9.904776841752608e+56,-3.2279754277312077e+56,1.8952408578691425e+56,5.21948390727343e+55,2.7331653028994127e+55,3.675946575034345e+56,4.507173619685066e+55,-2.3577087037144055e+55,-2.6689430003093465e+54,2.7416249628966576e+55,-100780907365.04492,-541129757.6046737,-2.318192042844744e+54,-98067807168.04237,-2.454177259802167e+55,-79188459519.6148,359987309.1752082,-469762046.9961448,-1508999014.8183,-4.952388420876314e+56,-4.629580310968661,-3.211591250250672,-32.40458897160021,-0.7749732431343617,1.3355699610932046e+56,1.8161426295994207e+56,-6.365388675298994e+54,-4.153653368587605e+54,-7040881613.374773,Sell
99.66100311279295,99.84380340576172,97.15789794921876,97.8188018798828,61.08894729614258,2799945.0,-1.0460531188410911e+55,2.1985003992651022e+56,-1.7872314428891342e+55,2.071518689294834e+56,66213674303.501236,-7.61449295250029e+56,-2.481569906925248e+56,1.457003866528464e+56,4.0125814102228233e+55,2.1011748441637002e+55,2.8259565799983956e+56,3.4649787987261973e+55,-1.8125351631148205e+55,-2.0518026797749137e+54,2.1076783749810865e+55,-77477314341.98497,-416004195.853759,-1.7821559490743793e+54,-75391564944.694,-1.886697272186441e+55,-9261023231.61481,372132696.84144527,-268435454.99614474,-1160072792.8892486,-3.8072464762501523e+56,-2.1568642627384147,-1.068970917361308,-22.485833763793103,-19.977735234146266,1.0267458034436452e+56,1.3961955402695524e+56,-4.893518348002767e+54,-3.193203118813826e+54,-5412816911.53064,hold
97.8188018798828,99.6750030517578,96.9749984741211,97.76260375976562,61.05385208129883,2200958.0,-3.5185891573545335e+55,7.395054350455941e+56,-6.011676714467236e+55,6.967928366281516e+56,222721688103.6514,-2.5612726408294528e+57,-8.34720991740663e+56,4.900896440775771e+56,1.349704445091113e+56,7.06768221538436e+55,9.505616877805614e+56,1.165508386913329e+56,-6.09679036120581e+55,-6.90160999671349e+54,7.089558019400813e+55,-260608981798.62314,-1399305472.2800443,-5.994604371597497e+54,-253593185866.5442,-6.346248049506625e+55,-72746008575.6148,1254480713.0602798,-805306366.9961448,-3902115222.9119782,-1.2806363204147287e+57,-27.06141802182724,-15.938042166369288,-26.293831330088405,-27.06141802182724,3.4536455045022413e+56,4.6963566199982835e+56,-1.6460235422531833e+55,-1.0740917137684911e+55,-18206990036.721123,hold
97.66410064697266,98.4937973022461,97.1156997680664,97.43910217285156,60.85182571411133,1879103.0,-3.8845730267090124e+55,8.164246343107186e+56,-6.636977540132028e+55,7.69269311454611e+56,245887946383.95612,-2.827681826341557e+57,-9.215439780930532e+56,5.41066014505812e+56,1.4900931160068131e+56,7.802822798406865e+55,1.0494337722996941e+57,1.286738019056104e+56,-6.730944230057855e+55,-7.619476680890931e+54,7.826974000613074e+55,-287716063439.9549,-1544853363.3045409,-6.618129428105108e+54,-279970523844.3684,-7.00634910512065e+55,-121332826111.6148,1497184352.1359136,-805306366.9961448,-4307991328.595456,-1.413840913170781e+57,-19.50797559533569,-22.18237628376973,-9.74426169212556,-19.50797559533569,3.812874300076312e+56,5.1848452416558915e+56,-1.8172336603151988e+55,-1.1858126973408206e+55,-20100778807.68828,hold
